customer_id,age,gender,city,income,education,experience_years,monthly_spending,credit_score,signup_date,has_credit_card,loan_amount,employment_type,defaulted
C100000,18.0,Male,faisalabad,97203.41,Bachelor,33,34323.67,728.0,2020-01-01,Yes,162409.81,Unemployed,0
C100001,56.0,Female,islamabad,132084.64,Matric,20,36955.51,439.0,2020-02-01,Yes,207532.68,Government,0
C100002,51.0,Female,Lahore,39789.24,Bachelor,26,30520.91,516.0,2020-03-01,Yes,261934.54,Government,0
C100003,21.0,Female,islamabad,110957.74,Matric,23,34385.96,520.0,2020-04-01,No,247704.90777003483,Student,1
C100004,69.0,Female,rawalpindi,127385.88,Master,18,34126.8,715.0,2020-05-01,No,92532.55,Business,0
C100005,30.0,Female,islamabad,123453.21,Matric,34,33844.22,785.0,2020-06-01,No,224054.86,Business,0
C100006,32.0,Female,rawalpindi,83403.43,Unknown,23,19674.54,653.0,2020-07-01,Yes,152762.08,Student,0
C100007,28.0,Female,karachi,86553.33,PhD,22,16386.71,470.0,2020-08-01,Yes,236735.43,Government,0
C100008,37.0,Male,Unknown,66498.13,Bachelor,17,32207.32,460.0,2020-09-01,No,320178.67,Government,1
C100009,28.0,Male,islamabad,100461.4,Matric,5,39130.19,778.0,2020-10-01,No,465303.04,Government,0
C100010,37.0,Male,rawalpindi,85782.02,Bachelor,5,10756.8,424.0,2020-11-01,No,247704.90777003483,Unemployed,0
C100011,64.0,Female,faisalabad,85476.32999999999,Bachelor,19,34052.43,313.0,2020-12-01,Yes,192580.52,Government,0
C100012,43.0,Male,Lahore,61486.98,Bachelor,21,40840.77,551.0,2020-01-13,Yes,131261.37,Private,0
C100013,70.0,Male,rawalpindi,79595.49,Bachelor,17,43710.06,475.0,2020-01-14,No,393804.13,Business,1
C100014,43.0,Female,faisalabad,152635.31,Intermediate,22,48537.99,816.0,2023-12-04,Yes,266086.43,Unemployed,0
C100015,33.0,Male,Lahore,59475.68,Intermediate,18,24572.07,695.0,2020-01-16,No,138353.87,Government,0
C100016,62.0,Female,Unknown,44356.73,Matric,12,30771.04,468.0,2020-01-17,Yes,523390.35,Student,0
C100017,64.0,Female,faisalabad,83983.1,PhD,26,31157.06,776.0,2020-01-18,Yes,284067.14,Private,0
C100018,67.0,Male,islamabad,50089.12,PhD,24,66597.78,682.0,2020-01-19,No,224129.22,Government,0
C100019,46.22862068965517,Female,islamabad,16234.51,Matric,21,16210.98,565.0,2020-01-20,Yes,201400.4,Unemployed,0
C100020,19.0,Female,faisalabad,69453.95,Intermediate,16,30475.6,566.0,2020-01-21,Yes,391290.17,Private,0
C100021,47.0,Male,islamabad,56892.91,Bachelor,25,49693.99,659.0,2020-01-22,Yes,188035.79,Business,0
