age,gender,income,experience_years,monthly_spending,credit_score,has_credit_card,loan_amount,defaulted,city_Unknown,city_faisalabad,city_islamabad,city_karachi,city_rawalpindi,education_Intermediate,education_Master,education_Matric,education_PhD,education_Unknown,signup_year,signup_month,signup_day,signup_dayofweek,employment_type_Government,employment_type_Private,employment_type_Student,employment_type_Unemployed
18.0,1,97203.41,33,34323.67,728.0,1,162409.81,0,0,1,0,0,0,0,0,0,0,0,2020,1,1,2,0,0,0,1
56.0,0,132084.64,20,36955.51,439.0,1,207532.68,0,0,0,1,0,0,0,0,1,0,0,2020,2,1,5,1,0,0,0
51.0,0,39789.24,26,30520.91,516.0,1,261934.54,0,0,0,0,0,0,0,0,0,0,0,2020,3,1,6,1,0,0,0
21.0,0,110957.74,23,34385.96,520.0,0,247704.90777003483,1,0,0,1,0,0,0,0,1,0,0,2020,4,1,2,0,0,1,0
69.0,0,127385.88,18,34126.8,715.0,0,92532.55,0,0,0,0,0,1,0,1,0,0,0,2020,5,1,4,0,0,0,0
30.0,0,123453.21,34,33844.22,785.0,0,224054.86,0,0,0,1,0,0,0,0,1,0,0,2020,6,1,0,0,0,0,0
32.0,0,83403.43,23,19674.54,653.0,1,152762.08,0,0,0,0,0,1,0,0,0,0,1,2020,7,1,2,0,0,1,0
28.0,0,86553.33,22,16386.71,470.0,1,236735.43,0,0,0,0,1,0,0,0,0,1,0,2020,8,1,5,1,0,0,0
37.0,1,66498.13,17,32207.32,460.0,0,320178.67,1,1,0,0,0,0,0,0,0,0,0,2020,9,1,1,1,0,0,0
28.0,1,100461.4,5,39130.19,778.0,0,465303.04,0,0,0,1,0,0,0,0,1,0,0,2020,10,1,3,1,0,0,0
37.0,1,85782.02,5,10756.8,424.0,0,247704.90777003483,0,0,0,0,0,1,0,0,0,0,0,2020,11,1,6,0,0,0,1
64.0,0,85476.32999999999,19,34052.43,313.0,1,192580.52,0,0,1,0,0,0,0,0,0,0,0,2020,12,1,1,1,0,0,0
43.0,1,61486.98,21,40840.77,551.0,1,131261.37,0,0,0,0,0,0,0,0,0,0,0,2020,1,13,0,0,1,0,0
70.0,1,79595.49,17,43710.06,475.0,0,393804.13,1,0,0,0,0,1,0,0,0,0,0,2020,1,14,1,0,0,0,0
43.0,0,152635.31,22,48537.99,816.0,1,266086.43,0,0,1,0,0,0,1,0,0,0,0,2023,12,4,0,0,0,0,1
